H: 23A4Q B: 181, T: hand.HandType.HighCard
H: J83JQ B: 185, T: hand.HandType.OnePair
H: J8448 B: 972, T: hand.HandType.OnePair
H: J8A9J B: 920, T: hand.HandType.OnePair
H: J92AA B: 171, T: hand.HandType.OnePair
H: J96Q6 B: 884, T: hand.HandType.OnePair
H: J99J2 B: 937, T: hand.HandType.OnePair
H: J9K97 B: 680, T: hand.HandType.OnePair
H: J9KAK B: 557, T: hand.HandType.OnePair
H: JA5J6 B: 814, T: hand.HandType.OnePair
H: JAQ6A B: 155, T: hand.HandType.OnePair
H: JJ667 B: 974, T: hand.HandType.OnePair
H: JJ87K B: 667, T: hand.HandType.OnePair
H: JJ9K9 B: 612, T: hand.HandType.OnePair
H: JK556 B: 816, T: hand.HandType.OnePair
H: JKQAK B: 412, T: hand.HandType.OnePair
H: JA2AJ B: 992, T: hand.HandType.OnePair
H: JAJK7 B: 25, T: hand.HandType.OnePair
H: Q4433 B: 119, T: hand.HandType.OnePair
H: Q48KQ B: 206, T: hand.HandType.OnePair
H: Q52Q8 B: 905, T: hand.HandType.OnePair
H: Q646Q B: 96, T: hand.HandType.OnePair
H: Q737Q B: 470, T: hand.HandType.OnePair
H: Q799Q B: 573, T: hand.HandType.OnePair
H: Q82J8 B: 734, T: hand.HandType.OnePair
H: Q838A B: 307, T: hand.HandType.OnePair
H: Q8393 B: 157, T: hand.HandType.OnePair
H: Q87QJ B: 600, T: hand.HandType.OnePair
H: Q8Q98 B: 953, T: hand.HandType.OnePair
H: Q9J9Q B: 625, T: hand.HandType.OnePair
H: QA7A3 B: 648, T: hand.HandType.OnePair
H: QAAAA B: 804, T: hand.HandType.OnePair
H: QJ7J7 B: 434, T: hand.HandType.OnePair
H: QJ88Q B: 745, T: hand.HandType.OnePair
H: QJJ58 B: 370, T: hand.HandType.OnePair
H: QJQ53 B: 626, T: hand.HandType.OnePair
H: QJQ54 B: 467, T: hand.HandType.OnePair
H: QQ464 B: 213, T: hand.HandType.OnePair
H: QQ8A8 B: 682, T: hand.HandType.OnePair
H: QQK6J B: 669, T: hand.HandType.OnePair
H: QK477 B: 41, T: hand.HandType.OnePair
H: QKK6Q B: 567, T: hand.HandType.OnePair
H: QA4AQ B: 601, T: hand.HandType.OnePair
H: QAQ5A B: 52, T: hand.HandType.OnePair
H: K22JK B: 662, T: hand.HandType.OnePair
H: K252K B: 298, T: hand.HandType.OnePair
H: K2J28 B: 835, T: hand.HandType.OnePair
H: K2K26 B: 402, T: hand.HandType.OnePair
H: K39A3 B: 160, T: hand.HandType.OnePair
H: K3Q63 B: 92, T: hand.HandType.OnePair
H: K5577 B: 431, T: hand.HandType.OnePair
H: K585J B: 361, T: hand.HandType.OnePair
H: K5KJ5 B: 687, T: hand.HandType.OnePair
H: K6336 B: 908, T: hand.HandType.OnePair
H: K7525 B: 75, T: hand.HandType.OnePair
H: K77QQ B: 744, T: hand.HandType.OnePair
H: K84KJ B: 143, T: hand.HandType.OnePair
H: K85AK B: 610, T: hand.HandType.OnePair
H: K8K64 B: 535, T: hand.HandType.OnePair
H: K9488 B: 245, T: hand.HandType.OnePair
H: KA6AK B: 825, T: hand.HandType.OnePair
H: KAJ7A B: 255, T: hand.HandType.OnePair
H: KJ773 B: 844, T: hand.HandType.OnePair
H: KJQ8Q B: 829, T: hand.HandType.OnePair
H: KQJ2Q B: 742, T: hand.HandType.OnePair
H: KQJK5 B: 80, T: hand.HandType.OnePair
H: KK698 B: 336, T: hand.HandType.OnePair
H: KK8AA B: 894, T: hand.HandType.OnePair
H: KKAAA B: 311, T: hand.HandType.OnePair
H: KA7KA B: 847, T: hand.HandType.OnePair
H: A3384 B: 751, T: hand.HandType.OnePair
H: A3Q8A B: 519, T: hand.HandType.OnePair
H: A44KA B: 418, T: hand.HandType.OnePair
H: A4AJ4 B: 60, T: hand.HandType.OnePair
H: A4JQJ B: 685, T: hand.HandType.OnePair
H: A58AA B: 654, T: hand.HandType.OnePair
H: A5J7A B: 385, T: hand.HandType.OnePair
H: A5A2K B: 577, T: hand.HandType.OnePair
H: A6J33 B: 88, T: hand.HandType.OnePair
H: A7227 B: 68, T: hand.HandType.OnePair
H: A73A3 B: 780, T: hand.HandType.OnePair
H: A7J7K B: 415, T: hand.HandType.OnePair
H: A8557 B: 553, T: hand.HandType.OnePair
H: A8A48 B: 959, T: hand.HandType.OnePair
H: A9229 B: 125, T: hand.HandType.OnePair
H: A9575 B: 261, T: hand.HandType.OnePair
H: A95AA B: 164, T: hand.HandType.OnePair
H: AA9QA B: 153, T: hand.HandType.OnePair
H: AAJQJ B: 690, T: hand.HandType.OnePair
H: AJ66A B: 51, T: hand.HandType.OnePair
H: AJJ68 B: 583, T: hand.HandType.OnePair
H: AJK22 B: 649, T: hand.HandType.OnePair
H: AQAJQ B: 611, T: hand.HandType.OnePair
H: AK4A8 B: 352, T: hand.HandType.OnePair
H: AK73A B: 951, T: hand.HandType.OnePair
H: AA44J B: 538, T: hand.HandType.OnePair
H: AA858 B: 891, T: hand.HandType.OnePair
H: AAKKJ B: 247, T: hand.HandType.OnePair
H: 22264 B: 179, T: hand.HandType.ThreeOAK
H: 222AA B: 295, T: hand.HandType.ThreeOAK
H: 222QQ B: 968, T: hand.HandType.ThreeOAK
H: 222KK B: 496, T: hand.HandType.ThreeOAK
H: 22525 B: 287, T: hand.HandType.ThreeOAK
H: 22662 B: 556, T: hand.HandType.ThreeOAK
H: 226J2 B: 966, T: hand.HandType.ThreeOAK
H: 22924 B: 954, T: hand.HandType.ThreeOAK
H: 22J32 B: 823, T: hand.HandType.ThreeOAK
H: 22JJ2 B: 534, T: hand.HandType.ThreeOAK
H: 23228 B: 608, T: hand.HandType.ThreeOAK
H: 23232 B: 204, T: hand.HandType.ThreeOAK
H: 23337 B: 768, T: hand.HandType.ThreeOAK
H: 26J66 B: 108, T: hand.HandType.ThreeOAK
H: 28666 B: 191, T: hand.HandType.ThreeOAK
H: 29282 B: 260, T: hand.HandType.ThreeOAK
H: 292Q2 B: 282, T: hand.HandType.ThreeOAK
H: 2AAJA B: 785, T: hand.HandType.ThreeOAK
H: 2J229 B: 381, T: hand.HandType.ThreeOAK
H: 2J22K B: 1000, T: hand.HandType.ThreeOAK
H: 2JJJ9 B: 480, T: hand.HandType.ThreeOAK
H: 2Q262 B: 967, T: hand.HandType.ThreeOAK
H: 2K229 B: 458, T: hand.HandType.ThreeOAK
H: 2KKKJ B: 509, T: hand.HandType.ThreeOAK
H: 32323 B: 438, T: hand.HandType.ThreeOAK
H: 32363 B: 233, T: hand.HandType.ThreeOAK
H: 32555 B: 739, T: hand.HandType.ThreeOAK
H: 33347 B: 916, T: hand.HandType.ThreeOAK
H: 333J4 B: 344, T: hand.HandType.ThreeOAK
H: 333J6 B: 328, T: hand.HandType.ThreeOAK
H: 33JJ3 B: 900, T: hand.HandType.ThreeOAK
H: 34A44 B: 689, T: hand.HandType.ThreeOAK
H: 3533K B: 384, T: hand.HandType.ThreeOAK
H: 355A5 B: 777, T: hand.HandType.ThreeOAK
H: 36363 B: 322, T: hand.HandType.ThreeOAK
H: 383J3 B: 99, T: hand.HandType.ThreeOAK
H: 39338 B: 177, T: hand.HandType.ThreeOAK
H: 39433 B: 935, T: hand.HandType.ThreeOAK
H: 3A33J B: 362, T: hand.HandType.ThreeOAK
H: 3A633 B: 221, T: hand.HandType.ThreeOAK
H: 3Q334 B: 728, T: hand.HandType.ThreeOAK
H: 3A33Q B: 788, T: hand.HandType.ThreeOAK
H: 3AA9A B: 981, T: hand.HandType.ThreeOAK
H: 42442 B: 797, T: hand.HandType.ThreeOAK
H: 42494 B: 85, T: hand.HandType.ThreeOAK
H: 4344J B: 208, T: hand.HandType.ThreeOAK
H: 43833 B: 230, T: hand.HandType.ThreeOAK
H: 4447A B: 178, T: hand.HandType.ThreeOAK
H: 444AJ B: 397, T: hand.HandType.ThreeOAK
H: 444QQ B: 853, T: hand.HandType.ThreeOAK
H: 444AA B: 210, T: hand.HandType.ThreeOAK
H: 44884 B: 848, T: hand.HandType.ThreeOAK
H: 45655 B: 771, T: hand.HandType.ThreeOAK
H: 45J55 B: 824, T: hand.HandType.ThreeOAK
H: 46443 B: 620, T: hand.HandType.ThreeOAK
H: 46544 B: 377, T: hand.HandType.ThreeOAK
H: 48944 B: 799, T: hand.HandType.ThreeOAK
H: 49443 B: 741, T: hand.HandType.ThreeOAK
H: 49777 B: 244, T: hand.HandType.ThreeOAK
H: 49JJJ B: 657, T: hand.HandType.ThreeOAK
H: 4AA44 B: 396, T: hand.HandType.ThreeOAK
H: 4J4K4 B: 495, T: hand.HandType.ThreeOAK
H: 4A4J4 B: 983, T: hand.HandType.ThreeOAK
H: 52242 B: 999, T: hand.HandType.ThreeOAK
H: 54545 B: 20, T: hand.HandType.ThreeOAK
H: 55335 B: 713, T: hand.HandType.ThreeOAK
H: 5535J B: 809, T: hand.HandType.ThreeOAK
H: 55534 B: 704, T: hand.HandType.ThreeOAK
H: 55577 B: 167, T: hand.HandType.ThreeOAK
H: 555J7 B: 359, T: hand.HandType.ThreeOAK
H: 555JJ B: 890, T: hand.HandType.ThreeOAK
H: 555JK B: 337, T: hand.HandType.ThreeOAK
H: 555KQ B: 877, T: hand.HandType.ThreeOAK
H: 5565J B: 252, T: hand.HandType.ThreeOAK
H: 55AA5 B: 919, T: hand.HandType.ThreeOAK
H: 55Q5J B: 141, T: hand.HandType.ThreeOAK
H: 5777Q B: 526, T: hand.HandType.ThreeOAK
H: 57877 B: 702, T: hand.HandType.ThreeOAK
H: 5AA8A B: 533, T: hand.HandType.ThreeOAK
H: 5KJKK B: 237, T: hand.HandType.ThreeOAK
H: 5A5A5 B: 539, T: hand.HandType.ThreeOAK
H: 5A8AA B: 189, T: hand.HandType.ThreeOAK
H: 622K2 B: 364, T: hand.HandType.ThreeOAK
H: 62444 B: 124, T: hand.HandType.ThreeOAK
H: 62626 B: 928, T: hand.HandType.ThreeOAK
H: 66469 B: 588, T: hand.HandType.ThreeOAK
H: 66654 B: 111, T: hand.HandType.ThreeOAK
H: 666QJ B: 876, T: hand.HandType.ThreeOAK
H: 6676J B: 192, T: hand.HandType.ThreeOAK
H: 66786 B: 433, T: hand.HandType.ThreeOAK
H: 66996 B: 962, T: hand.HandType.ThreeOAK
H: 66J46 B: 489, T: hand.HandType.ThreeOAK
H: 66A56 B: 215, T: hand.HandType.ThreeOAK
H: 6A665 B: 441, T: hand.HandType.ThreeOAK
H: 6JA66 B: 428, T: hand.HandType.ThreeOAK
H: 6K466 B: 703, T: hand.HandType.ThreeOAK
H: 6A4AA B: 84, T: hand.HandType.ThreeOAK
H: 6A636 B: 629, T: hand.HandType.ThreeOAK
H: 7222A B: 636, T: hand.HandType.ThreeOAK
H: 74434 B: 806, T: hand.HandType.ThreeOAK
H: 7444Q B: 944, T: hand.HandType.ThreeOAK
H: 747J7 B: 863, T: hand.HandType.ThreeOAK
H: 75KKK B: 427, T: hand.HandType.ThreeOAK
H: 77474 B: 504, T: hand.HandType.ThreeOAK
H: 77722 B: 136, T: hand.HandType.ThreeOAK
H: 7797Q B: 94, T: hand.HandType.ThreeOAK
H: 77J79 B: 635, T: hand.HandType.ThreeOAK
H: 77QK7 B: 309, T: hand.HandType.ThreeOAK
H: 788J8 B: 738, T: hand.HandType.ThreeOAK
H: 79737 B: 893, T: hand.HandType.ThreeOAK
H: 7A555 B: 404, T: hand.HandType.ThreeOAK
H: 7AJ77 B: 987, T: hand.HandType.ThreeOAK
H: 7AAAA B: 118, T: hand.HandType.ThreeOAK
H: 7K2KK B: 528, T: hand.HandType.ThreeOAK
H: 7KKK8 B: 492, T: hand.HandType.ThreeOAK
H: 7A7A7 B: 166, T: hand.HandType.ThreeOAK
H: 82878 B: 405, T: hand.HandType.ThreeOAK
H: 82882 B: 48, T: hand.HandType.ThreeOAK
H: 828J8 B: 62, T: hand.HandType.ThreeOAK
H: 838J8 B: 755, T: hand.HandType.ThreeOAK
H: 84442 B: 706, T: hand.HandType.ThreeOAK
H: 84544 B: 579, T: hand.HandType.ThreeOAK
H: 84K44 B: 310, T: hand.HandType.ThreeOAK
H: 86848 B: 232, T: hand.HandType.ThreeOAK
H: 88284 B: 923, T: hand.HandType.ThreeOAK
H: 88285 B: 805, T: hand.HandType.ThreeOAK
H: 88358 B: 849, T: hand.HandType.ThreeOAK
H: 88585 B: 796, T: hand.HandType.ThreeOAK
H: 8858A B: 69, T: hand.HandType.ThreeOAK
H: 88877 B: 279, T: hand.HandType.ThreeOAK
H: 88AA8 B: 128, T: hand.HandType.ThreeOAK
H: 88QQ8 B: 321, T: hand.HandType.ThreeOAK
H: 88A87 B: 390, T: hand.HandType.ThreeOAK
H: 89299 B: 802, T: hand.HandType.ThreeOAK
H: 8A688 B: 135, T: hand.HandType.ThreeOAK
H: 8JJJA B: 792, T: hand.HandType.ThreeOAK
H: 8Q889 B: 131, T: hand.HandType.ThreeOAK
H: 8A588 B: 43, T: hand.HandType.ThreeOAK
H: 93733 B: 98, T: hand.HandType.ThreeOAK
H: 93993 B: 207, T: hand.HandType.ThreeOAK
H: 93K33 B: 995, T: hand.HandType.ThreeOAK
H: 94998 B: 55, T: hand.HandType.ThreeOAK
H: 977A7 B: 910, T: hand.HandType.ThreeOAK
H: 99392 B: 887, T: hand.HandType.ThreeOAK
H: 9949A B: 714, T: hand.HandType.ThreeOAK
H: 99696 B: 811, T: hand.HandType.ThreeOAK
H: 996A9 B: 779, T: hand.HandType.ThreeOAK
H: 99797 B: 319, T: hand.HandType.ThreeOAK
H: 99934 B: 393, T: hand.HandType.ThreeOAK
H: 999J6 B: 269, T: hand.HandType.ThreeOAK
H: 99AA9 B: 508, T: hand.HandType.ThreeOAK
H: 99K9K B: 199, T: hand.HandType.ThreeOAK
H: 99A9J B: 95, T: hand.HandType.ThreeOAK
H: 99A9A B: 527, T: hand.HandType.ThreeOAK
H: 9A555 B: 735, T: hand.HandType.ThreeOAK
H: 9Q299 B: 572, T: hand.HandType.ThreeOAK
H: 9Q993 B: 256, T: hand.HandType.ThreeOAK
H: A3AAJ B: 472, T: hand.HandType.ThreeOAK
H: A4AA4 B: 795, T: hand.HandType.ThreeOAK
H: A5444 B: 354, T: hand.HandType.ThreeOAK
H: A5JAA B: 912, T: hand.HandType.ThreeOAK
H: A66AA B: 475, T: hand.HandType.ThreeOAK
H: AA35A B: 668, T: hand.HandType.ThreeOAK
H: AA7A7 B: 235, T: hand.HandType.ThreeOAK
H: AAA22 B: 692, T: hand.HandType.ThreeOAK
H: AAAAA B: 285, T: hand.HandType.ThreeOAK
H: AAJA8 B: 209, T: hand.HandType.ThreeOAK
H: AAJAK B: 100, T: hand.HandType.ThreeOAK
H: AAJAA B: 236, T: hand.HandType.ThreeOAK
H: AJAAJ B: 603, T: hand.HandType.ThreeOAK
H: AJAAA B: 316, T: hand.HandType.ThreeOAK
H: AQ4AA B: 678, T: hand.HandType.ThreeOAK
H: AK7AA B: 366, T: hand.HandType.ThreeOAK
H: AKAAA B: 242, T: hand.HandType.ThreeOAK
H: AAAA5 B: 793, T: hand.HandType.ThreeOAK
H: J2777 B: 774, T: hand.HandType.ThreeOAK
H: J5855 B: 978, T: hand.HandType.ThreeOAK
H: J5JJ5 B: 411, T: hand.HandType.ThreeOAK
H: J6866 B: 982, T: hand.HandType.ThreeOAK
H: J6J6J B: 642, T: hand.HandType.ThreeOAK
H: J7773 B: 357, T: hand.HandType.ThreeOAK
H: J8488 B: 313, T: hand.HandType.ThreeOAK
H: J8889 B: 14, T: hand.HandType.ThreeOAK
H: J9555 B: 151, T: hand.HandType.ThreeOAK
H: J9599 B: 879, T: hand.HandType.ThreeOAK
H: J9939 B: 15, T: hand.HandType.ThreeOAK
H: JJJ44 B: 643, T: hand.HandType.ThreeOAK
H: JJJ88 B: 330, T: hand.HandType.ThreeOAK
H: JQ999 B: 16, T: hand.HandType.ThreeOAK
H: Q3J33 B: 971, T: hand.HandType.ThreeOAK
H: Q3QKQ B: 515, T: hand.HandType.ThreeOAK
H: Q4Q4Q B: 759, T: hand.HandType.ThreeOAK
H: Q8AQQ B: 148, T: hand.HandType.ThreeOAK
H: QAAQQ B: 388, T: hand.HandType.ThreeOAK
H: QJ2QQ B: 882, T: hand.HandType.ThreeOAK
H: QQ22Q B: 222, T: hand.HandType.ThreeOAK
H: QQ82Q B: 946, T: hand.HandType.ThreeOAK
H: QQ99Q B: 925, T: hand.HandType.ThreeOAK
H: QQQ66 B: 110, T: hand.HandType.ThreeOAK
H: QQQJJ B: 770, T: hand.HandType.ThreeOAK
H: QAAA9 B: 113, T: hand.HandType.ThreeOAK
H: K2555 B: 297, T: hand.HandType.ThreeOAK
H: K28KK B: 395, T: hand.HandType.ThreeOAK
H: K2K6K B: 77, T: hand.HandType.ThreeOAK
H: K54KK B: 176, T: hand.HandType.ThreeOAK
H: K66J6 B: 819, T: hand.HandType.ThreeOAK
H: K7773 B: 61, T: hand.HandType.ThreeOAK
H: K9989 B: 671, T: hand.HandType.ThreeOAK
H: K9KK6 B: 44, T: hand.HandType.ThreeOAK
H: KA2AA B: 517, T: hand.HandType.ThreeOAK
H: KJJKK B: 523, T: hand.HandType.ThreeOAK
H: KJQQQ B: 761, T: hand.HandType.ThreeOAK
H: KQAKK B: 837, T: hand.HandType.ThreeOAK
H: KK6K4 B: 274, T: hand.HandType.ThreeOAK
H: KK88K B: 219, T: hand.HandType.ThreeOAK
H: KK9KJ B: 268, T: hand.HandType.ThreeOAK
H: KKK4A B: 394, T: hand.HandType.ThreeOAK
H: KKK68 B: 372, T: hand.HandType.ThreeOAK
H: KKKQ9 B: 407, T: hand.HandType.ThreeOAK
H: KAAAJ B: 906, T: hand.HandType.ThreeOAK
H: A2Q22 B: 607, T: hand.HandType.ThreeOAK
H: A5AKA B: 145, T: hand.HandType.ThreeOAK
H: A5AA9 B: 440, T: hand.HandType.ThreeOAK
H: A7AA7 B: 818, T: hand.HandType.ThreeOAK
H: A8828 B: 73, T: hand.HandType.ThreeOAK
H: A8A6A B: 133, T: hand.HandType.ThreeOAK
H: A8AA3 B: 679, T: hand.HandType.ThreeOAK
H: A9AKA B: 711, T: hand.HandType.ThreeOAK
H: AKAAK B: 859, T: hand.HandType.ThreeOAK
H: AAAAA B: 568, T: hand.HandType.ThreeOAK
H: AAAA8 B: 606, T: hand.HandType.ThreeOAK
H: AAAAK B: 864, T: hand.HandType.ThreeOAK
H: AAJ2A B: 50, T: hand.HandType.ThreeOAK
H: AAJJA B: 872, T: hand.HandType.ThreeOAK
H: 22999 B: 170, T: hand.HandType.FullHouse
H: 22KKK B: 494, T: hand.HandType.FullHouse
H: 2A2AA B: 326, T: hand.HandType.FullHouse
H: 33666 B: 574, T: hand.HandType.FullHouse
H: 33JJJ B: 746, T: hand.HandType.FullHouse
H: 33KKK B: 478, T: hand.HandType.FullHouse
H: 3AA3A B: 400, T: hand.HandType.FullHouse
H: 3Q3QQ B: 688, T: hand.HandType.FullHouse
H: 42242 B: 743, T: hand.HandType.FullHouse
H: 48884 B: 766, T: hand.HandType.FullHouse
H: 53335 B: 238, T: hand.HandType.FullHouse
H: 56656 B: 351, T: hand.HandType.FullHouse
H: 57757 B: 355, T: hand.HandType.FullHouse
H: 5K5KK B: 172, T: hand.HandType.FullHouse
H: 64644 B: 898, T: hand.HandType.FullHouse
H: 66555 B: 614, T: hand.HandType.FullHouse
H: 66777 B: 109, T: hand.HandType.FullHouse
H: 6K6KK B: 158, T: hand.HandType.FullHouse
H: 73733 B: 147, T: hand.HandType.FullHouse
H: 77666 B: 497, T: hand.HandType.FullHouse
H: 7QQQ7 B: 765, T: hand.HandType.FullHouse
H: 82282 B: 419, T: hand.HandType.FullHouse
H: 85558 B: 555, T: hand.HandType.FullHouse
H: 87877 B: 196, T: hand.HandType.FullHouse
H: 8QQ8Q B: 803, T: hand.HandType.FullHouse
H: 99222 B: 582, T: hand.HandType.FullHouse
H: 99888 B: 103, T: hand.HandType.FullHouse
H: 9KK9K B: 707, T: hand.HandType.FullHouse
H: AA333 B: 516, T: hand.HandType.FullHouse
H: AAJJJ B: 791, T: hand.HandType.FullHouse
H: J666J B: 425, T: hand.HandType.FullHouse
H: J77J7 B: 733, T: hand.HandType.FullHouse
H: JJ999 B: 929, T: hand.HandType.FullHouse
H: QQ666 B: 435, T: hand.HandType.FullHouse
H: QAAAQ B: 723, T: hand.HandType.FullHouse
H: K333K B: 426, T: hand.HandType.FullHouse
H: K444K B: 9, T: hand.HandType.FullHouse
H: KAAKA B: 506, T: hand.HandType.FullHouse
H: KK555 B: 38, T: hand.HandType.FullHouse
H: A222A B: 858, T: hand.HandType.FullHouse
H: A888A B: 850, T: hand.HandType.FullHouse
H: 22242 B: 45, T: hand.HandType.FourOAK
H: 222Q2 B: 697, T: hand.HandType.FourOAK
H: 22822 B: 275, T: hand.HandType.FourOAK
H: 2J222 B: 368, T: hand.HandType.FourOAK
H: 32222 B: 56, T: hand.HandType.FourOAK
H: 33335 B: 294, T: hand.HandType.FourOAK
H: 3333J B: 138, T: hand.HandType.FourOAK
H: 3333Q B: 801, T: hand.HandType.FourOAK
H: 33A33 B: 49, T: hand.HandType.FourOAK
H: 36333 B: 429, T: hand.HandType.FourOAK
H: 3K333 B: 562, T: hand.HandType.FourOAK
H: 44424 B: 979, T: hand.HandType.FourOAK
H: 44449 B: 790, T: hand.HandType.FourOAK
H: 444A4 B: 947, T: hand.HandType.FourOAK
H: 4K444 B: 826, T: hand.HandType.FourOAK
H: 54444 B: 91, T: hand.HandType.FourOAK
H: 55554 B: 700, T: hand.HandType.FourOAK
H: 5555K B: 895, T: hand.HandType.FourOAK
H: 55755 B: 278, T: hand.HandType.FourOAK
H: 5A555 B: 349, T: hand.HandType.FourOAK
H: 5Q555 B: 691, T: hand.HandType.FourOAK
H: 5KKKK B: 852, T: hand.HandType.FourOAK
H: 5AAAA B: 520, T: hand.HandType.FourOAK
H: 66466 B: 456, T: hand.HandType.FourOAK
H: 66636 B: 23, T: hand.HandType.FourOAK
H: 6666K B: 709, T: hand.HandType.FourOAK
H: 66686 B: 320, T: hand.HandType.FourOAK
H: 666A6 B: 554, T: hand.HandType.FourOAK
H: 67666 B: 810, T: hand.HandType.FourOAK
H: 67777 B: 822, T: hand.HandType.FourOAK
H: 68888 B: 223, T: hand.HandType.FourOAK
H: 69666 B: 749, T: hand.HandType.FourOAK
H: 72777 B: 754, T: hand.HandType.FourOAK
H: 77377 B: 856, T: hand.HandType.FourOAK
H: 7777J B: 406, T: hand.HandType.FourOAK
H: 77A77 B: 253, T: hand.HandType.FourOAK
H: 7Q777 B: 650, T: hand.HandType.FourOAK
H: 7KKKK B: 345, T: hand.HandType.FourOAK
H: 85888 B: 347, T: hand.HandType.FourOAK
H: 88883 B: 194, T: hand.HandType.FourOAK
H: 888A8 B: 31, T: hand.HandType.FourOAK
H: 88988 B: 842, T: hand.HandType.FourOAK
H: 8J888 B: 676, T: hand.HandType.FourOAK
H: 8K888 B: 468, T: hand.HandType.FourOAK
H: 93333 B: 353, T: hand.HandType.FourOAK
H: 99899 B: 695, T: hand.HandType.FourOAK
H: 99969 B: 447, T: hand.HandType.FourOAK
H: 99992 B: 453, T: hand.HandType.FourOAK
H: 99994 B: 817, T: hand.HandType.FourOAK
H: 9999K B: 11, T: hand.HandType.FourOAK
H: 99J99 B: 239, T: hand.HandType.FourOAK
H: 9A999 B: 365, T: hand.HandType.FourOAK
H: A2222 B: 544, T: hand.HandType.FourOAK
H: A5AAA B: 424, T: hand.HandType.FourOAK
H: A7AAA B: 843, T: hand.HandType.FourOAK
H: AA4AA B: 251, T: hand.HandType.FourOAK
H: AA6AA B: 783, T: hand.HandType.FourOAK
H: AAA2A B: 283, T: hand.HandType.FourOAK
H: AAA3A B: 522, T: hand.HandType.FourOAK
H: AAA8A B: 513, T: hand.HandType.FourOAK
H: AAA9A B: 27, T: hand.HandType.FourOAK
H: AAAJA B: 977, T: hand.HandType.FourOAK
H: AAAAA B: 74, T: hand.HandType.FourOAK
H: AQQQQ B: 933, T: hand.HandType.FourOAK
H: AKAAA B: 115, T: hand.HandType.FourOAK
H: J4444 B: 240, T: hand.HandType.FourOAK
H: J5555 B: 493, T: hand.HandType.FourOAK
H: J6666 B: 323, T: hand.HandType.FourOAK
H: JJJJ8 B: 943, T: hand.HandType.FourOAK
H: JAAAA B: 787, T: hand.HandType.FourOAK
H: Q2QQQ B: 949, T: hand.HandType.FourOAK
H: Q4QQQ B: 547, T: hand.HandType.FourOAK
H: Q8888 B: 30, T: hand.HandType.FourOAK
H: Q9999 B: 763, T: hand.HandType.FourOAK
H: QAAAA B: 586, T: hand.HandType.FourOAK
H: QJQQQ B: 487, T: hand.HandType.FourOAK
H: QQ6QQ B: 421, T: hand.HandType.FourOAK
H: QQ8QQ B: 776, T: hand.HandType.FourOAK
H: QQQQ5 B: 633, T: hand.HandType.FourOAK
H: QQQQ7 B: 773, T: hand.HandType.FourOAK
H: QQKQQ B: 304, T: hand.HandType.FourOAK
H: QKKKK B: 437, T: hand.HandType.FourOAK
H: QAQQQ B: 374, T: hand.HandType.FourOAK
H: K2KKK B: 264, T: hand.HandType.FourOAK
H: K9KKK B: 225, T: hand.HandType.FourOAK
H: KKAKK B: 815, T: hand.HandType.FourOAK
H: KKKJK B: 693, T: hand.HandType.FourOAK
H: KKKK3 B: 913, T: hand.HandType.FourOAK
H: KAAAA B: 936, T: hand.HandType.FourOAK
H: A3333 B: 531, T: hand.HandType.FourOAK
H: A7AAA B: 286, T: hand.HandType.FourOAK
H: AQAAA B: 976, T: hand.HandType.FourOAK
H: AA2AA B: 28, T: hand.HandType.FourOAK
H: AAA8A B: 510, T: hand.HandType.FourOAK
H: JJJJJ B: 917, T: hand.HandType.FiveOAK
